STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
      19207;2023061300;    3;   10.4;  80.0;eor
      19207;2023061306;    3;   15.4;  69.0;eor
      19207;2023061312;    3;   22.5;  29.0;eor
      19207;2023061318;    3;   19.3;  51.0;eor
      19207;2023061400;    3;   11.7;  92.0;eor
      19207;2023061406;    3;   15.8;  74.0;eor
      19207;2023061412;    3;   24.0;  34.0;eor
      19207;2023061418;    3;   21.9;  34.0;eor
      19207;2023061500;    3;   11.0;  80.0;eor
      19207;2023061506;    3;   15.3;  69.0;eor
      19207;2023061512;    3;   24.2;  32.0;eor
      19207;2023061518;    3;   21.1;  44.0;eor
      19207;2023061600;    3;   14.4;  87.0;eor
      19207;2023061606;    3;   14.0;  96.0;eor
      19207;2023061612;    3;   19.1;  70.0;eor
      19207;2023061618;    3;   20.8;  56.0;eor
      19207;2023061700;    3;   13.3;  95.0;eor
      19207;2023061706;    3;   15.1;  85.0;eor
      19207;2023061712;    3;   23.2;  45.0;eor
      19207;2023061718;    3;   21.7;  46.0;eor
      19207;2023061800;    3;   15.2;  84.0;eor
      19207;2023061806;    3;   16.7;  78.0;eor
      19207;2023061812;    3;   24.8;  40.0;eor
      19207;2023061818;    3;   24.3;  44.0;eor
      19207;2023061900;    3;   13.9;  93.0;eor
      19207;2023061906;    3;   18.3;  74.0;eor
      19207;2023061912;    3;   24.0;  55.0;eor
      19207;2023061918;    3;   22.2;  82.0;eor
      19207;2023062000;    3;   17.0;  97.0;eor
      19207;2023062006;    3;   18.6;  85.0;eor
      19207;2023062012;    3;   24.3;  55.0;eor
      19207;2023062018;    3;   24.9;  62.0;eor
      19207;2023062100;    3;   18.7;  91.0;eor
      19207;2023062106;    3;   19.8;  92.0;eor
      19207;2023062112;    3;   25.2;  58.0;eor
      19207;2023062118;    3;   24.0;  51.0;eor
      19207;2023062200;    3;   14.7;  97.0;eor
      19207;2023062206;    3;   17.0;  88.0;eor
      19207;2023062212;    3;   25.8;  49.0;eor
      19207;2023062218;    3;   23.6;  50.0;eor
      19207;2023062300;    3;   16.7;  89.0;eor
      19207;2023062306;    3;   16.5;  90.0;eor
      19207;2023062312;    3;   20.9;  61.0;eor
      19207;2023062318;    3;   21.2;  53.0;eor
      19207;2023062400;    3;   14.8;  89.0;eor
      19207;2023062406;    3;   16.5;  80.0;eor
      19207;2023062412;    3;   22.9;  46.0;eor
      19207;2023062418;    3;   22.9;  52.0;eor
      19207;2023062500;    3;   19.0;  75.0;eor
      19207;2023062506;    3;   21.9;  67.0;eor
      19207;2023062512;    3;   26.6;  40.0;eor
      19207;2023062518;    3;   26.8;  43.0;eor
      19207;2023062600;    3;   19.1;  84.0;eor
      19207;2023062606;    3;   22.9;  67.0;eor
      19207;2023062612;    3;   29.3;  43.0;eor
      19207;2023062618;    3;   20.5;  55.0;eor
      19207;2023062700;    3;   14.7;  81.0;eor
      19207;2023062706;    3;   16.0;  75.0;eor
      19207;2023062712;    3;   14.3;  81.0;eor
      19207;2023062718;    3;   16.6;  79.0;eor
      19207;2023062800;    3;   12.8;  85.0;eor
      19207;2023062806;    3;   16.0;  75.0;eor
      19207;2023062812;    3;   21.0;  49.0;eor
      19207;2023062818;    3;   21.9;  49.0;eor
      19207;2023062900;    3;   14.1;  93.0;eor
      19207;2023062906;    3;   17.0;  86.0;eor
      19207;2023062912;    3;   22.7;  63.0;eor
      19207;2023062918;    3;   21.7;  73.0;eor
      19207;2023063000;    3;   18.2;  94.0;eor
      19207;2023063006;    3;   17.5;  84.0;eor
      19207;2023063012;    3;   18.6;  68.0;eor
      19207;2023063018;    3;   20.4;  49.0;eor
      19207;2023070100;    3;   14.7;  85.0;eor
      19207;2023070106;    3;   16.5;  73.0;eor
      19207;2023070112;    3;   16.0;  88.0;eor
      19207;2023070118;    3;   16.7;  93.0;eor
      19207;2023070200;    3;   15.7;  89.0;eor
      19207;2023070206;    3;   16.2;  83.0;eor
      19207;2023070212;    3;   19.7;  51.0;eor
      19207;2023070218;    3;   18.9;  50.0;eor
      19207;2023070300;    3;   13.2;  69.0;eor
      19207;2023070306;    3;   16.1;  64.0;eor
      19207;2023070312;    3;   18.3;  59.0;eor
      19207;2023070318;    3;   13.5;  86.0;eor
      19207;2023070400;    3;   12.7;  83.0;eor
      19207;2023070406;    3;   13.9;  80.0;eor
      19207;2023070412;    3;   18.9;  51.0;eor
      19207;2023070418;    3;   17.3;  55.0;eor
      19207;2023070500;    3;   10.4;  94.0;eor
      19207;2023070506;    3;   14.3;  80.0;eor
      19207;2023070512;    3;   20.6;  67.0;eor
      19207;2023070518;    3;   18.7;  48.0;eor
      19207;2023070600;    3;   14.0;  72.0;eor
      19207;2023070606;    3;   15.0;  72.0;eor
      19207;2023070612;    3;   21.1;  43.0;eor
      19207;2023070618;    3;   18.5;  62.0;eor
      19207;2023070700;    3;   11.4;  96.0;eor
      19207;2023070706;    3;   16.5;  74.0;eor
      19207;2023070712;    3;   23.6;  39.0;eor
      19207;2023070718;    3;   23.4;  45.0;eor
